id,is_anonymous,comment,amount,created,expire,verified,formatted,formatted_without_comment,campaign.id,campaign.title,campaign.campaigner,user.id,user.name,user.string,status.id,status.name,status.description.id,status.description.en,invoice.base_donation,invoice.unique_code,invoice.transaction_fee,invoice.total_invoiced,payment_method.type,payment_method.name,time_scrapped,short_url
147369282.0,True,"semoga bermanfaat ya, bismillah Kaka aku yg cewek lulus CPNS dua²nya, semoga keluarga aku&amp; selalu sehat, panjang umur,dan di limpahkan rezeki nya di mudahkan jalan nya,di jauhkan dari marabahaya, bismillah tahun 2025 aku lolos perguruan tinggi  negeri UNPAD aamiin ",6000.0,1712932122.0,1712932722.0,1712932149.0,"Anonim Rp6.000 (semoga bermanfaat ya, bismillah Kaka aku yg cewek lulus CPNS dua²nya, semoga keluarga aku&amp; selalu sehat, panjang umur,dan di limpahkan rezeki nya di mudahkan jalan nya,di jauhkan dari marabahaya, bismillah tahun 2025 aku lolos perguruan tinggi  negeri UNPAD aamiin )",Donasi Rp6.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,6000.0,0.0,0.0,6000.0,DANA,DANA,2024-04-12 21:31:14,aktifbersamapanti
147368113.0,False,,25000.0,1712929449.0,1712936640.0,1712929612.0,Cidia Shafa Rp25.000,Donasi Rp25.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,8468439.0,Cidia Shafa,https://img.kitabisa.cc/size/150x150/e51b2e36-dd05-423f-a902-8944ad5784ac.jpg,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,25000.0,0.0,0.0,25000.0,VIRTUALACCOUNT,FLIP VA BCA,2024-04-12 21:31:14,aktifbersamapanti
147367940.0,True,,1000.0,1712928925.0,1712979325.0,1712928925.0,Anonim Rp1.000,Donasi Rp1.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,1000.0,0.0,0.0,1000.0,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147367860.0,True,,25000.0,1712928705.0,1712979105.0,1712928705.0,Anonim Rp25.000,Donasi Rp25.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,25000.0,0.0,0.0,25000.0,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147367775.0,True,,10000.0,1712928427.0,1712978827.0,1712928427.0,Anonim Rp10.000,Donasi Rp10.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,10000.0,0.0,0.0,10000.0,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147367757.0,True,,2000.0,1712928368.0,1712928968.0,1712928377.0,Anonim Rp2.000,Donasi Rp2.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,2000.0,0.0,0.0,2000.0,SHOPEEPAY,SHOPEEPAY_APP,2024-04-12 21:31:14,aktifbersamapanti
147367679.0,True,,15000.0,1712928108.0,1712928708.0,1712928141.0,Anonim Rp15.000,Donasi Rp15.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,15000.0,0.0,0.0,15000.0,SHOPEEPAY,SHOPEEPAY_APP,2024-04-12 21:31:14,aktifbersamapanti
147367667.0,True,,2000.0,1712928063.0,1712928663.0,1712928097.0,Anonim Rp2.000,Donasi Rp2.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,2000.0,0.0,0.0,2000.0,DANA,DANA,2024-04-12 21:31:14,aktifbersamapanti
147367522.0,False,,10000.0,1712927593.0,1712934780.0,1712927678.0,Herlinaal Puspa Mega Rp10.000,Donasi Rp10.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,123377393.0,Herlinaal Puspa Mega,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,10000.0,0.0,0.0,10000.0,VIRTUALACCOUNT,FLIP VA BCA,2024-04-12 21:31:14,aktifbersamapanti
147367468.0,True,,5000.0,1712927397.0,1712977797.0,1712927397.0,Anonim Rp5.000,Donasi Rp5.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,5000.0,0.0,0.0,5000.0,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147367458.0,True,,5000.0,1712927357.0,1712927957.0,1712927377.0,Anonim Rp5.000,Donasi Rp5.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,5000.0,0.0,0.0,5000.0,DANA,Dana_Microsite,2024-04-12 21:31:14,aktifbersamapanti
147367303.0,True,"Assalamu&#39;alaikum,Bismillah..Semoga berkah utk kami&amp; mereka.Senantiasa keluarga kami diberikan kesehatan wal afiat selalu, panjang umur, anak kami sembuh total,dilindungi Allah SWT,keselamatan,diperluas rezeki kami yang berkah,kebahagiaan,kemakmuran ,kesuksesan&amp;keselam",50000.0,1712926938.0,1712977338.0,1712926939.0,"Anonim Rp50.000 (Assalamu&#39;alaikum,Bismillah..Semoga berkah utk kami&amp; mereka.Senantiasa keluarga kami diberikan kesehatan wal afiat selalu, panjang umur, anak kami sembuh total,dilindungi Allah SWT,keselamatan,diperluas rezeki kami yang berkah,kebahagiaan,kemakmuran ,kesuksesan&amp;keselam)",Donasi Rp50.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000.0,0.0,0.0,50000.0,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147366979.0,True,,5000.0,1712926775.0,1712980775.0,1712926775.0,Anonim Rp5.000,Donasi Rp5.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,5000.0,0.0,0.0,5000.0,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147366976.0,True,,50000.0,1712926760.0,1712927360.0,1712926770.0,Anonim Rp50.000,Donasi Rp50.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000.0,0.0,0.0,50000.0,GOPAY,GO-PAY,2024-04-12 21:31:14,aktifbersamapanti
147366829.0,True,,50000.0,1712926240.0,1712933400.0,1712926268.0,Anonim Rp50.000,Donasi Rp50.000,539154.0,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0.0,Orang Baik,,4.0,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000.0,0.0,0.0,50000.0,VIRTUALACCOUNT,FLIP VA BCA,2024-04-12 21:31:14,aktifbersamapanti
